,Product_name,Original_price,Offer_price,Offer_percentage,Extra_offer,Shades_and_sizes,Featured_product,Best_seller_product
2156,Fogg Purelady Women Scent Tulip,499,399,20,Not available,Not available,Not available,Not available
2157,The Body Care Hand & Body Lotion With Almond Oil,139,111,20,Not available,2 sizes,Not available,Not available
2158,Sanfe Bikiniline Trimming Razor And After Shav & Wax Nourish...,Not available,648,Not available,Extra 5% Off,Not available,Not available,Not available
2159,"Treaclemoon Hand & Nail Sos Repari Balm Cream , My Coconut I...",450,405,10,Not available,Not available,Not available,Not available
2160,Vedic Line Foot Care Combo,760,704,7,Not available,Not available,Not available,Not available
2161,Fogg Scent Intensio Men Fragrance Body Spray,650,520,20,Not available,Not available,Not available,Not available
2162,Santoor Sandal And Almond Milk Soap (Buy 4 Get 1 Free 125g E...,204,184,10,Not available,Not available,Not available,Not available
2163,The Body Care Chocolate Wax + Miscellanea Wooden Spatula,405,316,22,Not available,Not available,Not available,Not available
2164,Bath & Body Works Black Cherry Merlot Cleansing Gel Hand Soa...,Not available,749,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2165,Plush Sanitary Pads With Disposables (Extra Large Pads) - Pa...,898,718,20,Not available,Not available,Not available,Not available
2166,Sirona Under Arm Sweat Pads For Men And Women - 24 Pads (2 P...,370,255,31,Extra 10% Off,Not available,Not available,Not available
2167,Plush 5 Blade Sweden Stainless Steel Razor Cartridge - Pack ...,449,427,5,Not available,Not available,Not available,Not available
2168,Pears Soft & Fresh And Naturale Detoxifying Aloevera Body Wa...,420,298,29,Not available,Not available,Not available,Not available
2169,Find Your Happy Place - Wrapped In Your Arms Scented Candle ...,899,809,10,Not available,Not available,Not available,Not available
2170,Victoria's Secret Fizzy Peach All That Glitters Body Lotion,2299,920,60,Not available,Not available,Not available,Not available
2171,Mamaearth Ubtan Body Lotion,299,269,10,Get Free Product,Not available,Not available,Not available
2172,Plush 100% Pure Us Cotton Panty Liners - Pack Of 2,240,216,10,Not available,Not available,Not available,Not available
2173,Sirona Foaming Intimate Wash with Apple Cider Vinegar for Me...,349,249,29,Extra 10% Off,Not available,Not available,Not available
2174,Yardley London Gentleman Classic Roll On For Men,199,159,20,Not available,Not available,Not available,Not available
2175,Find Your Happy Place - After The Rain Exfoliating Body Scru...,699,629,10,Not available,Not available,Not available,Not available
2176,Kiko Milano Intensive Hand Cream,Not available,650,Not available,Not available,Not available,Not available,Not available
2177,Pepsodent Silver Charcoal Anti Bacterial Tooth Brush Soft,Not available,65,Not available,Not available,Not available,Not available,Not available
2178,VEGA VHPT-01 Silky Soft Pedicure Tool,Not available,1699,Not available,Not available,Not available,Not available,Not available
2179,Keya Seth Aromatherapy Soft & Smooth Olive Body Oil,Not available,125,Not available,Not available,Not available,Not available,Not available
2180,VEGA VHPT-01 Silky Soft Pedicure Tool,Not available,1699,Not available,Not available,Not available,Not available,Not available
2181,Keya Seth Aromatherapy Soft & Smooth Olive Body Oil,Not available,125,Not available,Not available,Not available,Not available,Not available
2182,Spinz Enchante Perfumed Deo (Pack Of 2),500,320,36,Not available,Not available,Not available,Not available
2183,Find Your Happy Place - Under The Starlit Sky Moisturising B...,599,539,10,Not available,Not available,Not available,Not available
2184,Boho Botanist Mandarin & Kakadu Plum Exfoliator Body Scrub,450,383,15,Extra 5% Off,Not available,Not available,Not available
2185,Panache Premium Bath Loofah Sponge Scrubber for Men & Women ...,119,95,20,Not available,Not available,Not available,Not available
2186,Perfora Thyme Mint Strong Probiotic Mouthwash,399,299,25,Get Free Product,Not available,Not available,Not available
2187,Find Your Happy Place - Under The Starlit Sky Scented Candle...,899,809,10,Not available,Not available,Not available,Not available
2188,Volamena Hand & Foot Care Kit,849,611,28,Not available,Not available,Not available,Not available
2189,Nykaa Love Struck Tender Touch Shower Gel + Body Lotion + Pe...,1597,1118,30,Enjoy Free Gift,Not available,Not available,Not available
2190,Nat Habit Brightening Milk Rosehip Cold Processed Soap,308,200,35,Not available,Not available,Not available,Not available
